"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1278";"Bmw Serie 3";"318da
";"23.900€";"2016";"150 cv";"17.743 km";"Diesel";"4 puertas";"463 cm";"143 cm";"181 cm";"1.450 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-en-madrid.htm?id=2899820"
"1279";"Audi A6";"2.0tdi Ultra Advanced Edition S-t 190
";"32.900€";"03/2017";"190 cv";"20.357 km";"Diesel";"4 puertas";"493 cm";"146 cm";"187 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-20tdi-ultra-advanced-edition-s-t-190-en-madrid.htm?id=2910377"
"1280";"Peugeot 208";"1.4hdi Active
";"7.995€";"2014";"68 cv";"75.000 km";"Diesel";"3 puertas";"396 cm";"146 cm";"174 cm";"1.125 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-14hdi-active-en-madrid.htm?id=2699784"
"1281";"Porsche Cayenne";"Diesel 245 Aut.
";"47.900€";"2013";"245 cv";"70.100 km";"Diesel";"5 puertas";"485 cm";"171 cm";"194 cm";"2.175 kg";"https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-diesel-245-aut-en-madrid.htm?id=2679617"
"1282";"Lexus Is";"Is 300h Hybrid Drive Tecno
";"21.500€";"06/2013";"223 cv";"93.079 km";"Híbrido";"4 puertas";"467 cm";"143 cm";"181 cm";"1.620 kg";"https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-hybrid-drive-tecno-en-madrid.htm?id=2777125"
"1283";"Audi A4";"2.0tdi Dpf 150
";"20.490€";"09/2014";"150 cv";"52.053 km";"Diesel";"4 puertas";"470 cm";"143 cm";"183 cm";"1.480 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-dpf-150-en-madrid.htm?id=2838157"
"1284";"Mercedes Clase A";"A 200d 7g-dct
";"26.500€";"05/2017";"136 cv";"5.131 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.485 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=2882160"
"1285";"Volkswagen Golf";"1.6tdi Advance 115
";"18.500€";"04/2017";"115 cv";"9.907 km";"Diesel";"5 puertas";"426 cm";"149 cm";"179 cm";"1.301 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-advance-115-en-madrid.htm?id=2883257"
"1286";"Ford B-max";"B-max 1.5tdci Titanium 95
";"13.900€";"2017";"95 cv";"12.300 km";"Diesel";"5 puertas";"408 cm";"160 cm";"175 cm";"1.316 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-15tdci-titanium-95-en-madrid.htm?id=2780679"
"1287";"Fiat Dobló";"Panorama 1.3mjt Active N1 E5+
";"8.100€";"08/2013";"90 cv";"74.000 km";"Diesel";"5 puertas";"439 cm";"185 cm";"183 cm";"1.455 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-13mjt-active-n1-e5+-en-madrid.htm?id=2908896"
"1288";"Audi A5";"Sportback 3.0tdi Quattro 245
";"29.990€";"08/2014";"245 cv";"91.911 km";"Diesel";"5 puertas";"471 cm";"139 cm";"185 cm";"1.620 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-30tdi-quattro-245-en-madrid.htm?id=2851601"
"1289";"Honda Cr-v";"Cr-v 2.2i-dtec Lifestyle
";"13.300€";"2011";"150 cv";"140.000 km";"Diesel";"5 puertas";"457 cm";"168 cm";"182 cm";"1.652 kg";"https://www.coches.com/coches-segunda-mano/ocasion-honda-cr-v-22i-dtec-lifestyle-en-madrid.htm?id=2795636"
"1290";"Fiat Dobló";"Cargo 1.3mjt Base 90 E5+
";"5.066€";"07/2012";"90 cv";"102.000 km";"Diesel";"3 puertas";"439 cm";"185 cm";"183 cm";"1.345 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-90-e5+-en-madrid.htm?id=2876899"
"1291";"Mitsubishi Asx";"Asx 160 Mpi Challenge
";"9.990€";"04/2011";"117 cv";"120.000 km";"Gasolina";"5 puertas";"430 cm";"162 cm";"177 cm";"1.290 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160-mpi-challenge-en-madrid.htm?id=2842444"
"1292";"Volkswagen Golf";"1.6tdi Cr Bmt Advance 105
";"13.100€";"12/2013";"105 cv";"59.000 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.295 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-advance-105-en-madrid.htm?id=2890564"
"1293";"Fiat 500l";"500l 1.3mjt Ii S&s 85
";"10.990€";"06/2013";"85 cv";"51.971 km";"Diesel";"5 puertas";"415 cm";"167 cm";"178 cm";"1.315 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-13mjt-ii-s_s-85-en-madrid.htm?id=2884779"
"1294";"Seat Ibiza";"St 1.6tdi Cr Style 105
";"7.790€";"08/2013";"105 cv";"113.000 km";"Diesel";"5 puertas";"423 cm";"145 cm";"169 cm";"1.225 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-st-16tdi-cr-style-105-en-madrid.htm?id=2910721"
"1295";"Nissan X-trail";"X-trail 1.6 Dci 360 4x2
";"17.890€";"03/2015";"130 cv";"104.000 km";"Diesel";"5 puertas";"464 cm";"172 cm";"183 cm";"1.500 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dci-360-4x2-en-madrid.htm?id=2873229"
"1296";"Bmw X5";"3.0d Aut.
";"8.500€";"10/2005";"218 cv";"200.000 km";"Diesel";"5 puertas";"467 cm";"172 cm";"187 cm";"2.105 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-30d-aut-en-madrid.htm?id=2888509"
"1297";"Bmw Serie 4";"418da Gran Coupé
";"40.500€";"02/2017";"150 cv";"6 km";"Diesel";"5 puertas";"464 cm";"139 cm";"183 cm";"1.530 kg";"https://www.coches.com/km0/seminuevo-bmw-serie+4-418da-gran-coupe-en-madrid.htm?id=2502041"
"1298";"Peugeot 206";"2.0hdi Xt
";"2.900€";"01/2004";"90 cv";"106.000 km";"Diesel";"5 puertas";"384 cm";"143 cm";"165 cm";"1.070 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-206-20hdi-xt-en-madrid.htm?id=2903743"
"1299";"Audi A5";"Sportback 2.7tdi
";"17.990€";"11/2010";"190 cv";"79.000 km";"Diesel";"5 puertas";"471 cm";"139 cm";"185 cm";"1.695 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-27tdi-en-madrid.htm?id=2890643"
"1300";"Skoda Octavia";"1.6tdi Cr Ambition Greenline
";"12.500€";"02/2015";"110 cv";"78.000 km";"Diesel";"5 puertas";"466 cm";"146 cm";"181 cm";"1.280 kg";"https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-greenline-en-madrid.htm?id=2898239"
"1301";"Ford Fiesta";"1.5 Tdci Trend
";"7.590€";"05/2014";"75 cv";"68.000 km";"Diesel";"5 puertas";"397 cm";"147 cm";"172 cm";"1.118 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-15-tdci-trend-en-madrid.htm?id=2910674"
